time,temperature,humidity,pressure,dewPoint,windSpeed,visibility,summary
2020-02-03 18:00:00,43.03,0.61,1011.7,30.65,8.1,10,Clear
2020-02-03 19:00:00,41.57,0.64,1012.1,30.45,7.3,10,Clear
2020-02-03 20:00:00,40.27,0.68,1012.6,30.59,7.07,10,Clear
2020-02-03 21:00:00,39.35,0.71,1012.5,30.62,6.83,10,Clear
2020-02-03 22:00:00,38.83,0.71,1012.9,30.38,6.41,10,Clear
2020-02-03 23:00:00,37.95,0.74,1012.9,30.39,5.38,10,Clear
2020-02-04 00:00:00,36.86,0.78,1012.3,30.49,4.11,10,Clear
2020-02-04 01:00:00,36.2,0.79,1011.9,30.38,2.65,10,Clear
2020-02-04 02:00:00,35.9,0.8,1011.5,30.38,2.87,10,Partly Cloudy
2020-02-04 03:00:00,35.84,0.81,1011.3,30.58,3.38,10,Mostly Cloudy
2020-02-04 04:00:00,35.75,0.82,1010.9,30.74,3.46,10,Overcast
2020-02-04 05:00:00,35.62,0.83,1010.4,30.89,3.35,10,Overcast
2020-02-04 06:00:00,35.58,0.84,1010.3,31.1,3.83,10,Overcast
2020-02-04 07:00:00,35.97,0.84,1010.1,31.51,4.06,10,Overcast
2020-02-04 08:00:00,37.28,0.82,1010.2,32.15,3.72,10,Overcast
2020-02-04 09:00:00,38.91,0.78,1010.1,32.55,3.71,10,Overcast
2020-02-04 10:00:00,40.88,0.74,1009.8,33.12,3.71,10,Overcast
2020-02-04 11:00:00,41.05,0.75,1009.2,33.8,3.76,10,Overcast
2020-02-04 12:00:00,41.61,0.76,1008.1,34.47,3.83,10,Overcast
2020-02-04 13:00:00,42.51,0.75,1007.6,35.22,3.83,10,Overcast
2020-02-04 14:00:00,43.5,0.75,1007.1,35.98,3.63,10,Overcast
2020-02-04 15:00:00,44.25,0.75,1007.1,36.79,3.37,10,Overcast
2020-02-04 16:00:00,44.52,0.76,1007.2,37.5,3.37,10,Overcast
2020-02-04 17:00:00,44.46,0.78,1007.6,37.89,3.98,10,Overcast
2020-02-04 18:00:00,42.46,0.84,1008.3,38.07,4.99,10,Mostly Cloudy
2020-02-04 19:00:00,41.33,0.88,1008.9,38.02,5.78,10,Mostly Cloudy
2020-02-04 20:00:00,40.35,0.9,1009.3,37.68,5.67,10,Mostly Cloudy
2020-02-04 21:00:00,39.51,0.9,1009.5,36.79,5.11,10,Mostly Cloudy
2020-02-04 22:00:00,39.01,0.88,1009.7,35.85,4.84,10,Mostly Cloudy
2020-02-04 23:00:00,38.9,0.87,1009.9,35.29,5.06,10,Mostly Cloudy
2020-02-05 00:00:00,38.92,0.85,1010.2,34.87,5.53,10,Mostly Cloudy
2020-02-05 01:00:00,38.87,0.84,1010.5,34.37,6.16,10,Mostly Cloudy
2020-02-05 02:00:00,38.74,0.83,1010.9,33.96,7.02,10,Overcast
2020-02-05 03:00:00,38.63,0.79,1011.6,32.58,8.02,10,Overcast
2020-02-05 04:00:00,38.29,0.75,1012.2,31.2,8.77,10,Overcast
2020-02-05 05:00:00,37.42,0.74,1013.0,29.82,9.03,10,Overcast
2020-02-05 06:00:00,36.3,0.73,1013.7,28.35,9.06,10,Mostly Cloudy
2020-02-05 07:00:00,35.41,0.7,1014.6,26.58,9.3,10,Mostly Cloudy
2020-02-05 08:00:00,34.91,0.66,1015.6,24.82,10.11,10,Mostly Cloudy
2020-02-05 09:00:00,34.56,0.62,1016.5,22.98,11.14,10,Mostly Cloudy
2020-02-05 10:00:00,34.26,0.58,1017.3,20.83,11.75,10,Mostly Cloudy
2020-02-05 11:00:00,33.8,0.51,1017.6,17.7,11.61,10,Mostly Cloudy
2020-02-05 12:00:00,33.27,0.46,1017.9,14.73,11.06,10,Mostly Cloudy
2020-02-05 13:00:00,33.06,0.42,1018.1,12.46,10.48,10,Mostly Cloudy
2020-02-05 14:00:00,33.09,0.4,1018.6,11.11,9.95,10,Mostly Cloudy
2020-02-05 15:00:00,33.36,0.39,1019.0,10.97,9.38,10,Mostly Cloudy
2020-02-05 16:00:00,33.73,0.39,1019.5,11.26,8.83,10,Mostly Cloudy
2020-02-05 17:00:00,33.12,0.4,1020.4,11.56,8.34,10,Mostly Cloudy
2020-02-05 18:00:00,32.16,0.43,1021.4,11.95,7.89,10,Mostly Cloudy
